home;away;weight1;weight2
Celta;Extremadura;5.0;7.0
Hercules;Valladolid;1.0;3.0
Santander;Logrones;2.0;1.0
Extremadura;La Coruna;4.0;7.0
Ath Bilbao;Hercules;3.0;3.0
Logrones;Sociedad;2.0;3.0
Logrones;Zaragoza;4.0;4.0
Extremadura;Hercules;2.0;4.0
Betis;Extremadura;4.0;4.0
Hercules;Real Madrid;11.0;12.0
Tenerife;Logrones;0.0;0.0
Celta;Hercules;0.0;0.0
Extremadura;Vallecano;3.0;3.0
Logrones;Compostela;2.0;1.0
Ath Madrid;Logrones;0.0;0.0
Hercules;La Coruna;8.0;9.0
Oviedo;Extremadura;0.0;1.0
Hercules;Ath Madrid;8.0;9.0
Extremadura;Espanol;5.0;4.0
Sevilla;Logrones;6.0;6.0
Logrones;Valencia;1.0;0.0
Betis;Hercules;1.0;0.0
Santander;Extremadura;5.0;3.0
Extremadura;Sociedad;5.0;6.0
Hercules;Vallecano;2.0;3.0
Sp Gijon;Logrones;0.0;0.0
Logrones;Barcelona;9.0;6.0
Oviedo;Hercules;1.0;1.0
Zaragoza;Extremadura;4.0;3.0
Extremadura;Tenerife;3.0;4.0
Hercules;Espanol;7.0;10.0
Valladolid;Logrones;1.0;0.0
Compostela;Extremadura;1.0;1.0
Logrones;Ath Bilbao;10.0;6.0
Santander;Hercules;4.0;4.0
Extremadura;Logrones;0.0;1.0
Hercules;Sociedad;5.0;3.0
Sevilla;Extremadura;0.0;1.0
Logrones;Real Madrid;2.0;4.0
Zaragoza;Hercules;3.0;5.0
Extremadura;Valencia;1.0;2.0
Celta;Logrones;0.0;0.0
Hercules;Tenerife;4.0;3.0
Compostela;Hercules;3.0;4.0
Logrones;La Coruna;6.0;6.0
Sp Gijon;Extremadura;2.0;1.0
Hercules;Logrones;3.0;3.0
Extremadura;Barcelona;9.0;12.0
Valladolid;Extremadura;1.0;3.0
Logrones;Betis;6.0;3.0
Sevilla;Hercules;5.0;6.0
Extremadura;Ath Bilbao;3.0;8.0
Hercules;Valencia;9.0;12.0
Vallecano;Logrones;0.0;0.0
Ath Madrid;Extremadura;5.0;4.0
Logrones;Oviedo;3.0;4.0
Sp Gijon;Hercules;1.0;2.0
Espanol;Logrones;2.0;3.0
Hercules;Barcelona;6.0;3.0
Real Madrid;Extremadura;1.0;1.0
Extremadura;Celta;6.0;4.0
Logrones;Santander;3.0;4.0
Valladolid;Hercules;1.0;3.0
Hercules;Ath Bilbao;11.0;9.0
La Coruna;Extremadura;3.0;4.0
