home;away;weight1;weight2
Ponte Preta;Bragantino;11.0;18.0
Oeste;Botafogo SP;9.0;8.0
Bragantino;Agua Santa;2.0;4.0
Inter de Limeira;Palmeiras;2.0;5.0
Guarani;Ponte Preta;11.0;9.0
Santos;Santo Andre;4.0;3.0
Agua Santa;Mirassol;2.0;4.0
Inter de Limeira;Oeste;1.0;0.0
Palmeiras;Agua Santa;7.0;6.0
Mirassol;Ponte Preta;12.0;17.0
Guarani;Sao Paulo;9.0;9.0
Palmeiras;Santo Andre;1.0;0.0
Corinthians;Mirassol;4.0;1.0
Bragantino;Guarani;2.0;1.0
Inter de Limeira;Sao Bernardo;5.0;6.0
Sao Bento;Santo Andre;4.0;3.0
Sao Bernardo;Bragantino;7.0;10.0
Corinthians;Agua Santa;2.0;3.0
Inter de Limeira;Corinthians;4.0;4.0
Corinthians;Guarani;4.0;4.0
Mirassol;Sao Bernardo;6.0;5.0
Agua Santa;Portuguesa;1.0;0.0
Mirassol;Palmeiras;13.0;13.0
Ituano;Agua Santa;8.0;7.0
Portuguesa;Inter de Limeira;1.0;3.0
Guarani;Portuguesa;2.0;0.0
Sao Bento;Guarani;1.0;4.0
Agua Santa;Bragantino;7.0;7.0
Guarani;Sao Bernardo;5.0;5.0
Portuguesa;Ferroviaria;1.0;1.0
Sao Paulo;Inter de Limeira;1.0;1.0
Inter de Limeira;Agua Santa;2.0;4.0
Santos;Portuguesa;1.0;0.0
Sao Bernardo;Agua Santa;1.0;3.0
Mirassol;Portuguesa;2.0;3.0
Santo Andre;Inter de Limeira;0.0;1.0
Sao Bernardo;Inter de Limeira;2.0;3.0
Botafogo SP;Santo Andre;2.0;3.0
Corinthians;Ferroviaria;8.0;10.0
Ituano;Novorizontino;9.0;13.0
Inter de Limeira;Santos;4.0;7.0
Ferroviaria;Agua Santa;3.0;6.0
Santo Andre;Corinthians;6.0;7.0
Ituano;Inter de Limeira;3.0;6.0
Sao Bernardo;Ponte Preta;4.0;7.0
Inter de Limeira;Botafogo SP;5.0;6.0
Ferroviaria;Bragantino;3.0;6.0
Guarani;Botafogo SP;10.0;12.0
Ferroviaria;Ponte Preta;9.0;15.0
Novorizontino;Guarani;5.0;7.0
Inter de Limeira;Mirassol;3.0;4.0
Santo Andre;Novorizontino;5.0;7.0
Ferroviaria;Palmeiras;12.0;14.0
Mirassol;Santos;10.0;12.0
Sao Bernardo;Ituano;0.0;1.0
Inter de Limeira;Ferroviaria;6.0;11.0
Agua Santa;Sao Paulo;8.0;10.0
Novorizontino;Inter de Limeira;3.0;6.0
Agua Santa;Santo Andre;2.0;4.0
Guarani;Ferroviaria;4.0;4.0
Sao Bernardo;Guarani;1.0;2.0
Mirassol;Agua Santa;2.0;4.0
Ituano;Sao Caetano;4.0;4.0
Linense;Sao Caetano;2.0;3.0
Bragantino;Sao Bento;3.0;7.0
Novorizontino;Sao Caetano;1.0;0.0
RB Brasil;Bragantino;4.0;2.0
Sao Caetano;Mirassol;5.0;6.0
Sao Caetano;RB Brasil;1.0;1.0
