home;away;weight1;weight2
Goiás EC;Brasiliense-DF;3.0;3.0
Goiás EC;Juventude;5.0;6.0
Goiás EC;Paraná;4.0;5.0
Goiás EC;Cruzeiro;26.0;32.0
Goiás EC;Fluminense;50.0;37.0
Juventude;Atlético-PR;20.0;19.0
Juventude;Ponte Preta;30.0;31.0
Juventude;Palmeiras;20.0;19.0
Juventude;Corinthians;13.0;11.0
Palmeiras;Paraná;18.0;17.0
Palmeiras;Fortaleza;18.0;16.0
Santos FC;Brasiliense-DF;4.0;5.0
Santos FC;Goiás EC;35.0;35.0
Fluminense;Goiás EC;16.0;16.0
Fluminense;Brasiliense-DF;30.0;32.0
São Paulo;Paraná;31.0;34.0
São Paulo;Internacional;22.0;26.0
São Paulo;Brasiliense-DF;9.0;12.0
Corinthians;Goiás EC;12.0;7.0
Corinthians;Paraná;23.0;36.0
Coritiba FC;Juventude;36.0;42.0
Coritiba FC;Brasiliense-DF;17.0;17.0
Paysandu SC;Fluminense;20.0;21.0
Paysandu SC;Goiás EC;12.0;7.0
Paysandu SC;Fortaleza;35.0;44.0
Paysandu SC;Internacional;34.0;37.0
Ponte Preta;Internacional;49.0;50.0
Ponte Preta;Paraná;34.0;39.0
Ponte Preta;São Caetano;14.0;14.0
Atlético-MG;Internacional;36.0;36.0
Atlético-MG;Goiás EC;15.0;19.0
Atlético-PR;Internacional;18.0;14.0
Atlético-PR;Goiás EC;27.0;22.0
São Caetano;Flamengo;9.0;9.0
São Caetano;Santos FC;6.0;4.0
São Caetano;Paraná;7.0;9.0
São Caetano;Juventude;9.0;14.0
São Caetano;Paysandu SC;26.0;31.0
São Caetano;Internacional;22.0;23.0
São Caetano;Vasco da Gama;18.0;19.0
Internacional;Flamengo;22.0;20.0
Internacional;Fortaleza;14.0;12.0
Internacional;Atlético-MG;32.0;30.0
Internacional;Paysandu SC;9.0;7.0
Vasco da Gama;Goiás EC;20.0;19.0
Vasco da Gama;Brasiliense-DF;23.0;24.0
Brasiliense-DF;Paraná;22.0;20.0
Brasiliense-DF;Cruzeiro;16.0;28.0
Brasiliense-DF;Atlético-MG;17.0;27.0
Brasiliense-DF;São Caetano;31.0;33.0
Brasiliense-DF;Juventude;0.0;0.0
Brasiliense-DF;Goiás EC;24.0;18.0
Brasiliense-DF;Coritiba FC;27.0;27.0
Figueirense FC;Internacional;38.0;31.0
Figueirense FC;Palmeiras;15.0;16.0
Figueirense FC;Fluminense;19.0;18.0
Figueirense FC;Botafogo;28.0;25.0
Figueirense FC;Fortaleza;23.0;22.0
Paraná;Juventude;35.0;36.0
Paraná;Corinthians;38.0;40.0
Paraná;Atlético-PR;38.0;38.0
Paraná;Botafogo;36.0;36.0
Paraná;Paysandu SC;29.0;30.0
Botafogo;Paysandu SC;5.0;2.0
Botafogo;Paraná;32.0;34.0
Cruzeiro;Juventude;17.0;17.0
Flamengo;Paysandu SC;28.0;27.0
Flamengo;Figueirense FC;19.0;19.0
Flamengo;São Caetano;22.0;13.0
Fortaleza;Ponte Preta;22.0;28.0
Fortaleza;Brasiliense-DF;3.0;7.0
Fortaleza;Corinthians;12.0;11.0
Fortaleza;Juventude;31.0;32.0
Fortaleza;Flamengo;33.0;31.0
Fortaleza;Paraná;18.0;25.0
