home,away,home_goals,away_goals,home_win,away_win,draw,weights1,weights2
Nîmes Olympique,Girondins Bordeaux,2,0,1.0,0.0,0.0,0,0.0
RC Strasbourg,Angers SCO,0,0,0.0,0.0,1.0,0,1.0
FC Lorient,Lille OSC,1,4,0.0,1.0,0.0,4,3.0
Paris Saint-Germain,AS Monaco,0,2,0.0,1.0,0.0,2,3.0
Stade Rennes,OGC Nice,1,2,0.0,1.0,0.0,2,3.0
Girondins Bordeaux,FC Metz,1,2,0.0,1.0,0.0,2,3.0
Dijon FCO,Paris Saint-Germain,0,4,0.0,1.0,0.0,4,3.0
AS Monaco,Stade Brest,2,0,1.0,0.0,0.0,0,0.0
Angers SCO,RC Lens,2,2,0.0,0.0,1.0,2,1.0
FC Lorient,AS Saint-Étienne,2,1,1.0,0.0,0.0,1,0.0
Nîmes Olympique,FC Nantes,1,1,0.0,0.0,1.0,1,1.0
Stade Reims,Montpellier HSC,0,0,0.0,0.0,1.0,0,1.0
Lille OSC,RC Strasbourg,1,1,0.0,0.0,1.0,1,1.0
Olympique Marseille,Olympique Lyon,1,1,0.0,0.0,1.0,1,1.0
Stade Brest,Dijon FCO,3,1,1.0,0.0,0.0,1,0.0
Olympique Lyon,Stade Rennes,1,0,1.0,0.0,0.0,0,0.0
FC Metz,Angers SCO,0,1,0.0,1.0,0.0,1,3.0
OGC Nice,Nîmes Olympique,2,1,1.0,0.0,0.0,1,0.0
AS Saint-Étienne,RC Lens,2,3,0.0,1.0,0.0,3,3.0
Girondins Bordeaux,Paris Saint-Germain,0,1,0.0,1.0,0.0,1,3.0
Lille OSC,Olympique Marseille,2,0,1.0,0.0,0.0,0,0.0
Montpellier HSC,FC Lorient,1,1,0.0,0.0,1.0,1,1.0
FC Nantes,Stade Reims,1,2,0.0,1.0,0.0,2,3.0
RC Strasbourg,AS Monaco,1,0,1.0,0.0,0.0,0,0.0
Stade Reims,Olympique Lyon,1,1,0.0,0.0,1.0,1,1.0
Angers SCO,AS Saint-Étienne,0,1,0.0,1.0,0.0,1,3.0
Olympique Marseille,Stade Brest,3,1,1.0,0.0,0.0,1,0.0
Nîmes Olympique,Montpellier HSC,1,1,0.0,0.0,1.0,1,1.0
Dijon FCO,Girondins Bordeaux,1,3,0.0,1.0,0.0,3,3.0
RC Lens,FC Metz,2,2,0.0,0.0,1.0,2,1.0
FC Lorient,OGC Nice,1,1,0.0,0.0,1.0,1,1.0
Stade Rennes,RC Strasbourg,1,0,1.0,0.0,0.0,0,0.0
AS Monaco,Lille OSC,0,0,0.0,0.0,1.0,0,1.0
Paris Saint-Germain,FC Nantes,1,2,0.0,1.0,0.0,2,3.0
AS Saint-Étienne,AS Monaco,0,4,0.0,1.0,0.0,4,3.0
FC Metz,Stade Rennes,1,3,0.0,1.0,0.0,3,3.0
OGC Nice,Olympique Marseille,3,0,1.0,0.0,0.0,0,0.0
RC Strasbourg,RC Lens,1,2,0.0,1.0,0.0,2,3.0
Stade Brest,Angers SCO,0,0,0.0,0.0,1.0,0,1.0
Dijon FCO,Stade Reims,0,1,0.0,1.0,0.0,1,3.0
Montpellier HSC,Girondins Bordeaux,3,1,1.0,0.0,0.0,1,0.0
FC Nantes,FC Lorient,1,1,0.0,0.0,1.0,1,1.0
Lille OSC,Nîmes Olympique,1,2,0.0,1.0,0.0,2,3.0
Olympique Lyon,Paris Saint-Germain,2,4,0.0,1.0,0.0,4,3.0
AS Monaco,FC Metz,4,0,1.0,0.0,0.0,0,0.0
